"BrokerID","UserID","Password","IsActive","UserName","UserType","Department","GrantFuncSet","SetUserID","CommandDate","CommandTime"
"0137","trader1","0f95ce1d19f2429687eb8b0783654478","1","Ë«Â¡","1","","","0137201FM1","20130726","21:18:34"
"0137","trader2","e1dcf82c33a076575ce58f9033cda21d","1","solo","1","","","0137201FM1","20130726","21:19:28"
"0137","trader3","389357de62e9e7a6c20ce9dc74655ce4","1","solo1","1","","","0137201FM1","20130726","21:20:26"
"0137","trader4","8ea931ff8d01f53ea7f7330c94f18bd1","1","solo2","1","","","0137201FM1","20130726","21:21:13"
"0137","trader5","d46d08059380500816bd93ea2078484e","1","solo3","1","","","0137201FM1","20130726","21:21:41"
"0137","trader6","b83a5259e0d036d3970a4199206e4334","1","solo4","1","","","0137201FM1","20130726","21:22:32"
"0137","user1","ccf31bfac8e7bda41cf163eb454d3832","1","ÌÔÀû","1","","","0137201FM1","20130726","21:23:10"
"0137","user10","8eb6736d0db2c7c07aea95912404e8cd","1","","1","","","0137201FM1","20130726","21:28:30"
"0137","user11","4faac94451072bf0b742ee13f45af0fb","1","","1","","","0137201FM1","20130726","21:28:56"
"0137","user12","3fe721234b7b5b7c6b6f76e8586b5fca","1","","1","","","0137201FM1","20130726","21:29:29"
"0137","user13","f64654115972c956de861990c3f97227","1","","1","","","0137201FM1","20130726","21:29:59"
"0137","user14","ec80a35b11dd4588c259b0f9397a6fa0","1","","1","","","0137201FM1","20130726","21:30:26"
"0137","user15","e78903883dce5e81a816d6dc5564dcb0","1","","1","","","0137201FM1","20130726","21:30:54"
"0137","user16","10c865a4bc1c606b8ee7e7a36df1a98e","1","","1","","","0137201FM1","20130726","21:31:22"
"0137","user17","e882f59fa8fb4ac4ca723bd72983cb88","1","","1","","","0137201FM1","20130726","21:31:48"
"0137","user18","a6837cca78085c8761559018f87664b7","1","","1","","","0137201FM1","20130726","21:32:17"
"0137","user19","417a310e084358af8c4b5552faa769db","1","","1","","","0137201FM1","20130726","21:32:44"
"0137","user2","f77c085dcc2b9aab518b5130b0787c71","1","","1","","","0137201FM1","20130726","21:24:37"
"0137","user20","03c1327db1b80dece82847b0105256f6","1","","1","","","0137201FM1","20130726","21:33:10"
"0137","user3","b301d2423e22883d394ab48377c1806c","1","","1","","","0137201FM1","20130726","21:24:57"
"0137","user4","487b62b8ef31bd92c3bffa13a043e19c","1","","1","","","0137201FM1","20130726","21:25:24"
"0137","user5","366e50816f19d5af1e926a2df90d96c5","1","","1","","","0137201FM1","20130726","21:26:04"
"0137","user6","6a7d2a80ab0590f64c32f188cbafe683","1","","1","","","0137201FM1","20130726","21:26:21"
"0137","user7","2476a83e57e66282e0a8fcf1e5823985","1","","1","","","0137201FM1","20130726","21:26:47"
"0137","user8","45fd4d166cd0800f24c06d6e992a6bae","1","","1","","","0137201FM1","20130726","21:27:07"
"0137","user9","2a53062851a35b28e0311217ecebff84","1","","1","","","0137201FM1","20130726","21:27:37"
"BrokerID","UserID","Password","IsActive","UserName","UserType","Department","GrantFuncSet","SetUserID","CommandDate","CommandTime"
"0228","10380002","5336921cd515e0cab89bea661bbb775b","1","Â½Ã÷ÖÇ","1","shanghai","","0228202FM1","20130726","21:09:57"
"0228","11801626","d403632ccb330fb91be6aba182f07b4d","1","Â¥Óî·å","1","shanghai","","0228202FM1","20130726","21:10:40"
"0228","11806581","00d24211b6bb6279c9f401670e2997b0","1","Íõº£·«","1","shanghai","","0228202FM1","20130726","21:11:57"
"BrokerID","UserID","Password","IsActive","UserName","UserType","Department","GrantFuncSet","SetUserID","CommandDate","CommandTime"
"0210","16010537","afb657d416fa47619120fd5fa9a54bc6","1","½ª´æ¶«","1","","","0210203FM1","20130727","04:47:55"
